sentence,gold
ताम्बूलम् क्षतपित्तास्ररूक्षउत्कुपितचक्षुषाम् विषमूर्छामदआर्तानाम् अपथ्यम् शोषिणाम् अपि (भवति) .,"{""tokens"": [""ताम्बूलम्"", ""क्षत"", ""पित्तास्र"", ""रूक्ष"", ""उत्कुपित"", ""चक्षुषाम्"", ""विष"", ""मूर्छा"", ""मद"", ""आर्तानाम्"", ""अ"", ""पथ्यम्"", ""शोषिणाम्"", ""अपि"", ""(भवति)"", "".""], ""compounds"": ""1\tताम्बूलम्\tताम्बूलम्\t17\tCompNo\t_\tNo_rel\n2\tक्षत-\tक्षत-पित्तास्र-रूक्ष-उत्कुपित-चक्षुषाम्\t3\tComp5\t_\tइतरेतर-द्वन्द्वः\n3\tपित्तास्र-\t--\t4\tComp5\t_\tइतरेतर-द्वन्द्वः\n4\tरूक्ष-\t--\t5\tComp5\t_\tइतरेतर-द्वन्द्वः\n5\tउत्कुपित-\t--\t6\tComp5\t_\tषष्ठी-बहुव्रीहिः\n6\tचक्षुषाम्\t--\t17\tComp5\t_\tComp_root\n7\tविष-\tविष-मूर्छा-मद-आर्तानाम्\t8\tComp4\t_\tइतरेतर-द्वन्द्वः\n8\tमूर्छा-\t--\t9\tComp4\t_\tइतरेतर-द्वन्द्वः\n9\tमद-\t--\t10\tComp4\t_\tतृतीया-तत्पुरुषः\n10\tआर्तानाम्\t--\t17\tComp4\t_\tComp_root\n11\tअ-\tअ-पथ्यम्\t12\tComp2\t_\tनञ्-तत्पुरुषः\n12\tपथ्यम्\t--\t17\tComp2\t_\tComp_root\n13\tशोषिणाम्\tशोषिणाम्\t17\tCompNo\t_\tNo_rel\n14\tअपि\tअपि\t17\tCompNo\t_\tNo_rel\n15\t(भवति)\tभवति\t17\tCompNo\t_\tNo_rel\n16\t.\t.\t17\tCompNo\t_\tNo_rel\n17\tDUMMY\t_\t0\tCompNo\t_\troot""}"
अभ्यङ्गम् आचरेत् नित्यम् सः जराश्रमवातहा दृष्टिप्रसादपुष्टिआयुःस्वप्नसुत्वक्त्वदार्ढ्यकृत् (च) (भवति) .,"{""tokens"": [""अभ्यङ्गम्"", ""आचरेत्"", ""नित्यम्"", ""सः"", ""जरा"", ""श्रम"", ""वात"", ""हा"", ""दृष्टि"", ""प्रसाद"", ""पुष्टि"", ""आयुः"", ""स्वप्न"", ""सु"", ""त्वक्त्व"", ""दार्ढ्य"", ""कृत्"", ""(च)"", ""(भवति)"", "".""], ""compounds"": ""1\tअभ्यङ्गम्\tअभ्यङ्गम्\t21\tCompNo\t_\tNo_rel\n2\tआचरेत्\tआचरेत्\t21\tCompNo\t_\tNo_rel\n3\tनित्यम्\tनित्यम्\t21\tCompNo\t_\tNo_rel\n4\tसः\tसः\t21\tCompNo\t_\tNo_rel\n5\tजरा-\tजरा-श्रम-वात-हा\t6\tComp4\t_\tइतरेतर-द्वन्द्वः\n6\tश्रम-\t--\t7\tComp4\t_\tइतरेतर-द्वन्द्वः\n7\tवात-\t--\t8\tComp4\t_\tउपपद-तत्पुरुषः\n8\tहा\t--\t21\tComp4\t_\tComp_root\n9\tदृष्टि-\tदृष्टि-प्रसाद-पुष्टि-आयुः-स्वप्न-सु-त्वक्त्व-दार्ढ्य-कृत्\t10\tComp9\t_\tषष्ठी-तत्पुरुषः\n10\tप्रसाद-\t--\t11\tComp9\t_\tइतरेतर-द्वन्द्वः\n11\tपुष्टि-\t--\t12\tComp9\t_\tइतरेतर-द्वन्द्वः\n12\tआयुः-\t--\t13\tComp9\t_\tइतरेतर-द्वन्द्वः\n13\tस्वप्न-\t--\t14\tComp9\t_\tइतरेतर-द्वन्द्वः\n14\tसु-\t--\t15\tComp9\t_\tषष्ठ्यर्थ-बहुव्रीहिः\n15\tत्वक्त्व-\t--\t16\tComp9\t_\tइतरेतर-द्वन्द्वः\n16\tदार्ढ्य-\t--\t17\tComp9\t_\tउपपद-तत्पुरुषः\n17\tकृत्\t--\t21\tComp9\t_\tComp_root\n18\t(च)\tच\t21\tCompNo\t_\tNo_rel\n19\t(भवति)\tभवति\t21\tCompNo\t_\tNo_rel\n20\t.\t.\t21\tCompNo\t_\tNo_rel\n21\tDUMMY\t_\t0\tCompNo\t_\troot""}"
शिरःश्रवणपादेषु तम् विशेषेण शीलयेत् .,"{""tokens"": [""शिरः"", ""श्रवण"", ""पादेषु"", ""तम्"", ""विशेषेण"", ""शीलयेत्"", "".""], ""compounds"": ""1\tशिरः-\tशिरः-श्रवण-पादेषु\t2\tComp3\t_\tइतरेतर-द्वन्द्वः\n2\tश्रवण-\t--\t3\tComp3\t_\tइतरेतर-द्वन्द्वः\n3\tपादेषु\t--\t8\tComp3\t_\tComp_root\n4\tतम्\tतम्\t8\tCompNo\t_\tNo_rel\n5\tविशेषेण\tविशेषेण\t8\tCompNo\t_\tNo_rel\n6\tशीलयेत्\tशीलयेत्\t8\tCompNo\t_\tNo_rel\n7\t.\t.\t8\tCompNo\t_\tNo_rel\n8\tDUMMY\t_\t0\tCompNo\t_\troot""}"
वर्ज्यः अभ्यङ्गः कफग्रस्तकृतसम्शुद्धिअजीर्णिभिः .,"{""tokens"": [""वर्ज्यः"", ""अभ्यङ्गः"", ""कफ"", ""ग्रस्त"", ""कृत"", ""सम्"", ""शुद्धि"", ""अ"", ""जीर्णिभिः"", "".""], ""compounds"": ""1\tवर्ज्यः\tवर्ज्यः\t11\tCompNo\t_\tNo_rel\n2\tअभ्यङ्गः\tअभ्यङ्गः\t11\tCompNo\t_\tNo_rel\n3\tकफ-\tकफ-ग्रस्त-कृत-सं-शुद्धि-अ-जीर्णिभिः\t4\tComp7\t_\tतृतीया-तत्पुरुषः\n4\tग्रस्त-\t--\t5\tComp7\t_\tइतरेतर-द्वन्द्वः\n5\tकृत-\t--\t6\tComp7\t_\tतृतीयार्थ-बहुव्रीहिः\n6\tसम्-\t--\t7\tComp7\t_\tप्रादि-तत्पुरुषः\n7\tशुद्धि-\t--\t8\tComp7\t_\tइतरेतर-द्वन्द्वः\n8\tअ-\t--\t9\tComp7\t_\tनञ्-तत्पुरुषः\n9\tजीर्णिभिः\t--\t11\tComp7\t_\tComp_root\n10\t.\t.\t11\tCompNo\t_\tNo_rel\n11\tDUMMY\t_\t0\tCompNo\t_\troot""}"
लाघवम् कर्मसामर्थ्यम् दीप्तः अग्निः मेदसः क्षयः विभक्तघनगात्रत्वम् च व्यायामात् उपजायते .,"{""tokens"": [""लाघवम्"", ""कर्म"", ""सामर्थ्यम्"", ""दीप्तः"", ""अग्निः"", ""मेदसः"", ""क्षयः"", ""विभक्त"", ""घन"", ""गात्रत्वम्"", ""च"", ""व्यायामात्"", ""उपजायते"", "".""], ""compounds"": ""1\tलाघवम्\tलाघवम्\t15\tCompNo\t_\tNo_rel\n2\tकर्म-\tकर्म-सामर्थ्यम्\t3\tComp2\t_\tषष्ठी-तत्पुरुषः\n3\tसामर्थ्यम्\t--\t15\tComp2\t_\tComp_root\n4\tदीप्तः\tदीप्तः\t15\tCompNo\t_\tNo_rel\n5\tअग्निः\tअग्निः\t15\tCompNo\t_\tNo_rel\n6\tमेदसः\tमेदसः\t15\tCompNo\t_\tNo_rel\n7\tक्षयः\tक्षयः\t15\tCompNo\t_\tNo_rel\n8\tविभक्त-\tविभक्त-घन-गात्रत्वम्\t9\tComp3\t_\tइतरेतर-द्वन्द्वः\n9\tघन-\t--\t10\tComp3\t_\tषष्ठ्यर्थ-बहुव्रीहिः\n10\tगात्रत्वम्\t--\t15\tComp3\t_\tComp_root\n11\tच\tच\t15\tCompNo\t_\tNo_rel\n12\tव्यायामात्\tव्यायामात्\t15\tCompNo\t_\tNo_rel\n13\tउपजायते\tउपजायते\t15\tCompNo\t_\tNo_rel\n14\t.\t.\t15\tCompNo\t_\tNo_rel\n15\tDUMMY\t_\t0\tCompNo\t_\troot""}"
वातपित्तआमयी बालः वृद्धः अजीर्णः च तम् त्यजेत् .,"{""tokens"": [""वात"", ""पित्त"", ""आमयी"", ""बालः"", ""वृद्धः"", ""अजीर्णः"", ""च"", ""तम्"", ""त्यजेत्"", "".""], ""compounds"": ""1\tवात-\tवात-पित्त-आमयी\t2\tComp3\t_\tइतरेतर-द्वन्द्वः\n2\tपित्त-\t--\t3\tComp3\t_\tषष्ठी-तत्पुरुषः\n3\tआमयी\t--\t11\tComp3\t_\tComp_root\n4\tबालः\tबालः\t11\tCompNo\t_\tNo_rel\n5\tवृद्धः\tवृद्धः\t11\tCompNo\t_\tNo_rel\n6\tअजीर्णः\tअजीर्णः\t11\tCompNo\t_\tNo_rel\n7\tच\tच\t11\tCompNo\t_\tNo_rel\n8\tतम्\tतम्\t11\tCompNo\t_\tNo_rel\n9\tत्यजेत्\tत्यजेत्\t11\tCompNo\t_\tNo_rel\n10\t.\t.\t11\tCompNo\t_\tNo_rel\n11\tDUMMY\t_\t0\tCompNo\t_\troot""}"
अर्धशक्त्या निषेव्यः तु बलिभिः स्निग्धभोजिभिः (पुरुषैः) शीतकाले वसन्ते च मन्दम् एव ततः अन्यदा (निषेव्यः) .,"{""tokens"": [""अर्ध"", ""शक्त्या"", ""निषेव्यः"", ""तु"", ""बलिभिः"", ""स्निग्ध"", ""भोजिभिः"", ""(पुरुषैः)"", ""शीत"", ""काले"", ""वसन्ते"", ""च"", ""मन्दम्"", ""एव"", ""ततः"", ""अन्यदा"", ""(निषेव्यः)"", "".""], ""compounds"": ""1\tअर्ध-\tअर्ध-शक्त्या\t2\tComp2\t_\tकर्मधारयः\n2\tशक्त्या\t--\t19\tComp2\t_\tComp_root\n3\tनिषेव्यः\tनिषेव्यः\t19\tCompNo\t_\tNo_rel\n4\tतु\tतु\t19\tCompNo\t_\tNo_rel\n5\tबलिभिः\tबलिभिः\t19\tCompNo\t_\tNo_rel\n6\tस्निग्ध-\tस्निग्ध-भोजिभिः\t7\tComp2\t_\tउपपद-तत्पुरुषः\n7\tभोजिभिः\t--\t19\tComp2\t_\tComp_root\n8\t(पुरुषैः)\tपुरुषैः\t19\tCompNo\t_\tNo_rel\n9\tशीत-\tशीत-काले\t10\tComp2\t_\tकर्मधारयः\n10\tकाले\t--\t19\tComp2\t_\tComp_root\n11\tवसन्ते\tवसन्ते\t19\tCompNo\t_\tNo_rel\n12\tच\tच\t19\tCompNo\t_\tNo_rel\n13\tमन्दम्\tमन्दम्\t19\tCompNo\t_\tNo_rel\n14\tएव\tएव\t19\tCompNo\t_\tNo_rel\n15\tततः\tततः\t19\tCompNo\t_\tNo_rel\n16\tअन्यदा\tअन्यदा\t19\tCompNo\t_\tNo_rel\n17\t(निषेव्यः)\tनिषेव्यः\t19\tCompNo\t_\tNo_rel\n18\t.\t.\t19\tCompNo\t_\tNo_rel\n19\tDUMMY\t_\t0\tCompNo\t_\troot""}"
तम् कृत्वा अनुसुखम् देहम् मर्दयेत् च समन्ततः .,"{""tokens"": [""तम्"", ""कृत्वा"", ""अनु"", ""सुखम्"", ""देहम्"", ""मर्दयेत्"", ""च"", ""समन्ततः"", "".""], ""compounds"": ""1\tतम्\tतम्\t10\tCompNo\t_\tNo_rel\n2\tकृत्वा\tकृत्वा\t10\tCompNo\t_\tNo_rel\n3\tअनु-\tअनु-सुखम्\t4\tComp2\t_\tअव्ययीभावः\n4\tसुखम्\t--\t10\tComp2\t_\tComp_root\n5\tदेहम्\tदेहम्\t10\tCompNo\t_\tNo_rel\n6\tमर्दयेत्\tमर्दयेत्\t10\tCompNo\t_\tNo_rel\n7\tच\tच\t10\tCompNo\t_\tNo_rel\n8\tसमन्ततः\tसमन्ततः\t10\tCompNo\t_\tNo_rel\n9\t.\t.\t10\tCompNo\t_\tNo_rel\n10\tDUMMY\t_\t0\tCompNo\t_\troot""}"
तृष्णा क्षयः प्रतमकः रक्तपित्तम् श्रमः क्लमः अतिव्यायामतः कासः ज्वरः छर्दिः च जायते .,"{""tokens"": [""तृष्णा"", ""क्षयः"", ""प्रतमकः"", ""रक्तपित्तम्"", ""श्रमः"", ""क्लमः"", ""अति"", ""व्यायामतः"", ""कासः"", ""ज्वरः"", ""छर्दिः"", ""च"", ""जायते"", "".""], ""compounds"": ""1\tतृष्णा\tतृष्णा\t15\tCompNo\t_\tNo_rel\n2\tक्षयः\tक्षयः\t15\tCompNo\t_\tNo_rel\n3\tप्रतमकः\tप्रतमकः\t15\tCompNo\t_\tNo_rel\n4\tरक्तपित्तम्\tरक्तपित्तम्\t15\tCompNo\t_\tNo_rel\n5\tश्रमः\tश्रमः\t15\tCompNo\t_\tNo_rel\n6\tक्लमः\tक्लमः\t15\tCompNo\t_\tNo_rel\n7\tअति-\tअति-व्यायामतः\t8\tComp2\t_\tअव्ययीभावः\n8\tव्यायामतः\t--\t15\tComp2\t_\tComp_root\n9\tकासः\tकासः\t15\tCompNo\t_\tNo_rel\n10\tज्वरः\tज्वरः\t15\tCompNo\t_\tNo_rel\n11\tछर्दिः\tछर्दिः\t15\tCompNo\t_\tNo_rel\n12\tच\tच\t15\tCompNo\t_\tNo_rel\n13\tजायते\tजायते\t15\tCompNo\t_\tNo_rel\n14\t.\t.\t15\tCompNo\t_\tNo_rel\n15\tDUMMY\t_\t0\tCompNo\t_\troot""}"
व्यायामजागरअध्वस्त्रीहास्यभाषिआदि साहसम् गजम् सिंहः इव आकर्षन् (विनश्यति) भजन् अति विनश्यति (पुरुषः) .,"{""tokens"": [""व्यायाम"", ""जागर"", ""अध्व"", ""स्त्री"", ""हास्य"", ""भाषि"", ""आदि"", ""साहसम्"", ""गजम्"", ""सिंहः"", ""इव"", ""आकर्षन्"", ""(विनश्यति)"", ""भजन्"", ""अति"", ""विनश्यति"", ""(पुरुषः)"", "".""], ""compounds"": ""1\tव्यायाम-\tव्यायाम-जागर-अध्व-स्त्री-हास्य-भाषि-आदि\t2\tComp7\t_\tइतरेतर-द्वन्द्वः\n2\tजागर-\t--\t3\tComp7\t_\tइतरेतर-द्वन्द्वः\n3\tअध्व-\t--\t4\tComp7\t_\tइतरेतर-द्वन्द्वः\n4\tस्त्री-\t--\t5\tComp7\t_\tइतरेतर-द्वन्द्वः\n5\tहास्य-\t--\t6\tComp7\t_\tइतरेतर-द्वन्द्वः\n6\tभाषि-\t--\t7\tComp7\t_\tषष्ठ्यर्थ-बहुव्रीहिः\n7\tआदि\t--\t19\tComp7\t_\tComp_root\n8\tसाहसम्\tसाहसम्\t19\tCompNo\t_\tNo_rel\n9\tगजम्\tगजम्\t19\tCompNo\t_\tNo_rel\n10\tसिंहः\tसिंहः\t19\tCompNo\t_\tNo_rel\n11\tइव\tइव\t19\tCompNo\t_\tNo_rel\n12\tआकर्षन्\tआकर्षन्\t19\tCompNo\t_\tNo_rel\n13\t(विनश्यति)\t(विनश्यति)\t19\tCompNo\t_\tNo_rel\n14\tभजन्\tभजन्\t19\tCompNo\t_\tNo_rel\n15\tअति\tअति\t19\tCompNo\t_\tNo_rel\n16\tविनश्यति\tविनश्यति\t19\tCompNo\t_\tNo_rel\n17\t(पुरुषः)\t(पुरुषः)\t19\tCompNo\t_\tNo_rel\n18\t.\t.\t19\tCompNo\t_\tNo_rel\n19\tDUMMY\t_\t0\tCompNo\t_\troot""}"
उद्वर्तनम् कफहरम् मेदसः प्रविलायनम् स्थिरीकरणम् अङ्गानाम् त्वक्प्रसादकरम् परम् (च) (भवति) .,"{""tokens"": [""उद्वर्तनम्"", ""कफ"", ""हरम्"", ""मेदसः"", ""प्रविलायनम्"", ""स्थिरीकरणम्"", ""अङ्गानाम्"", ""त्वक्"", ""प्रसाद"", ""करम्"", ""परम्"", ""(च)"", ""(भवति)"", "".""], ""compounds"": ""1\tउद्वर्तनम्\tउद्वर्तनम्\t15\tCompNo\t_\tNo_rel\n2\tकफ-\tकफ-हरम्\t3\tComp2\t_\tउपपद-तत्पुरुषः\n3\tहरम्\t--\t15\tComp2\t_\tComp_root\n4\tमेदसः\tमेदसः\t15\tCompNo\t_\tNo_rel\n5\tप्रविलायनम्\tप्रविलायनम्\t15\tCompNo\t_\tNo_rel\n6\tस्थिरीकरणम्\tस्थिरीकरणम्\t15\tCompNo\t_\tNo_rel\n7\tअङ्गानाम्\tअङ्गानाम्\t15\tCompNo\t_\tNo_rel\n8\tत्वक्-\tत्वक्-प्रसाद-करम्\t9\tComp3\t_\tषष्ठी-तत्पुरुषः\n9\tप्रसाद-\t--\t10\tComp3\t_\tउपपद-तत्पुरुषः\n10\tकरम्\t--\t15\tComp3\t_\tComp_root\n11\tपरम्\tपरम्\t15\tCompNo\t_\tNo_rel\n12\t(च)\t(च)\t15\tCompNo\t_\tNo_rel\n13\t(भवति)\t(भवति)\t15\tCompNo\t_\tNo_rel\n14\t.\t.\t15\tCompNo\t_\tNo_rel\n15\tDUMMY\t_\t0\tCompNo\t_\troot""}"
दीपनम् वृष्यम् आयुष्यम् स्नानम् ऊर्जाबलप्रदम् कण्डूमलश्रमस्वेदतन्द्रातृट्दाहपाप्मजित् (च) (भवति) .,"{""tokens"": [""दीपनम्"", ""वृष्यम्"", ""आयुष्यम्"", ""स्नानम्"", ""ऊर्जा"", ""बल"", ""प्रदम्"", ""कण्डू"", ""मल"", ""श्रम"", ""स्वेद"", ""तन्द्रा"", ""तृट्"", ""दाह"", ""पाप्म"", ""जित्"", ""(च)"", ""(भवति)"", "".""], ""compounds"": ""1\tदीपनम्\tदीपनम्\t20\tCompNo\t_\tNo_rel\n2\tवृष्यम्\tवृष्यम्\t20\tCompNo\t_\tNo_rel\n3\tआयुष्यम्\tआयुष्यम्\t20\tCompNo\t_\tNo_rel\n4\tस्नानम्\tस्नानम्\t20\tCompNo\t_\tNo_rel\n5\tऊर्जा-\tऊर्जा-बल-प्रदम्\t6\tComp3\t_\tइतरेतर-द्वन्द्वः\n6\tबल-\t--\t7\tComp3\t_\tउपपद-तत्पुरुषः\n7\tप्रदम्\t--\t20\tComp3\t_\tComp_root\n8\tकण्डू-\tकण्डू-मल-श्रम-स्वेद-तन्द्रा-तृट्-दाह-पाप्म-जित्\t9\tComp9\t_\tइतरेतर-द्वन्द्वः\n9\tमल-\t--\t10\tComp9\t_\tइतरेतर-द्वन्द्वः\n10\tश्रम-\t--\t11\tComp9\t_\tइतरेतर-द्वन्द्वः\n11\tस्वेद-\t--\t12\tComp9\t_\tइतरेतर-द्वन्द्वः\n12\tतन्द्रा-\t--\t13\tComp9\t_\tइतरेतर-द्वन्द्वः\n13\tतृट्-\t--\t14\tComp9\t_\tइतरेतर-द्वन्द्वः\n14\tदाह-\t--\t15\tComp9\t_\tइतरेतर-द्वन्द्वः\n15\tपाप्म-\t--\t16\tComp9\t_\tउपपद-तत्पुरुषः\n16\tजित्\t--\t20\tComp9\t_\tComp_root\n17\t(च)\t(च)\t20\tCompNo\t_\tNo_rel\n18\t(भवति)\t(भवति)\t20\tCompNo\t_\tNo_rel\n19\t.\t.\t20\tCompNo\t_\tNo_rel\n20\tDUMMY\t_\t0\tCompNo\t_\troot""}"
